Project Name,Project ID,Project Type,Extension Type,Extension Version,Hub ID,Root Folder ID,Self Link,Web View Link
TR1040_N00000680,b.10dc1f00-f7c8-4714-aa08-0af7a06065c3,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.XscS3xSPSfiXpAUMHredYg,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.10dc1f00-f7c8-4714-aa08-0af7a06065c3,https://acc.autodesk.eu/docs/files/projects/10dc1f00-f7c8-4714-aa08-0af7a06065c3
TR1351_N00000681,b.f95baf3d-9fa3-4e1b-9d1b-dbf0bb2c538a,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.S-ClVHD2TIyNzBEY4xPYUA,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.f95baf3d-9fa3-4e1b-9d1b-dbf0bb2c538a,https://acc.autodesk.eu/docs/files/projects/f95baf3d-9fa3-4e1b-9d1b-dbf0bb2c538a
TR1350_N00000670,b.7b9e0de9-4a7e-435b-ac8b-396cc0d56f2b,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.-GPkNP3IRcKSJxQ6QQjajQ,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.7b9e0de9-4a7e-435b-ac8b-396cc0d56f2b,https://acc.autodesk.eu/docs/files/projects/7b9e0de9-4a7e-435b-ac8b-396cc0d56f2b
Überholt,b.f4d3004d-0d1a-4cf6-9772-d8cb319a7c8b,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.O0892iRESmeaWu0iE8T9sA,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.f4d3004d-0d1a-4cf6-9772-d8cb319a7c8b,https://acc.autodesk.eu/docs/files/projects/f4d3004d-0d1a-4cf6-9772-d8cb319a7c8b
S028_N00001448,b.d820fb37-6338-4da0-af09-211c620b53ea,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.pHPp6U7_Sl6QBnv7cv3ouw,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.d820fb37-6338-4da0-af09-211c620b53ea,https://acc.autodesk.eu/docs/files/projects/d820fb37-6338-4da0-af09-211c620b53ea
Demo_Entwicklung Ablagestruktur & Namenskonvention,b.83ed101a-c147-4cc6-9716-d879769d50e7,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.qN9gIt-hSf6vcd2RQE_GJA,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.83ed101a-c147-4cc6-9716-d879769d50e7,https://acc.autodesk.eu/docs/files/projects/83ed101a-c147-4cc6-9716-d879769d50e7
TR1040_N00001666,b.71c44452-436c-40da-b1a6-03a5892cee2c,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.gNGHgRj7RZiOUIrI3YRbRg,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.71c44452-436c-40da-b1a6-03a5892cee2c,https://acc.autodesk.eu/docs/files/projects/71c44452-436c-40da-b1a6-03a5892cee2c
Component Library Project 82bfbb26-b70f-45e4-90f1-6728a78467e6,b.cf83e4b1-1416-4b93-9efa-9ae9a6810a53,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.SytW1a_lRDiistqS8jD3-A,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.cf83e4b1-1416-4b93-9efa-9ae9a6810a53,https://acc.autodesk.eu/docs/files/projects/cf83e4b1-1416-4b93-9efa-9ae9a6810a53
Demo_Leitungen,b.06740661-9e8d-4a46-b539-ddfe46f72afc,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.NkCr2yNsRleaNVUugHw-Og,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.06740661-9e8d-4a46-b539-ddfe46f72afc,https://acc.autodesk.eu/docs/files/projects/06740661-9e8d-4a46-b539-ddfe46f72afc
Demo_Anlagedokumentation_CH-TR1580_Chamoson-Mühleberg,b.93cb80fd-5acb-42a1-be2b-9d480529b18a,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.4nPo6gSfTM-65SrpErwntQ,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.93cb80fd-5acb-42a1-be2b-9d480529b18a,https://acc.autodesk.eu/docs/files/projects/93cb80fd-5acb-42a1-be2b-9d480529b18a
